URL,SHA,Module,Test_Name,Status,Github_link,ISSRE_Category,P-values,%_Failing_TCOs,TSO_fail_rate,ISO_fail_rate,TSO_num_runs,TSO_num_pass,ISO_num_runs,ISO_num_pass,TSO_Runs,TSO_Fails,Categories_from_other_papers
https://github.com/TooTallNate/Java-WebSocket,fa3909c391195178ccf5a92d4ac342a30ae247c8,.,org.java_websocket.issues.Issue256Test.runReconnectBlockingScenario3,Inspected,,,5.34E-08,52.4,1.83,0.98,4000,3927,4000,3961,(2000;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100),(33;2;2;9;0;0;3;1;0;0;4;0;0;0;0;5;0;3;5;6;0),NDOD;NOD
https://github.com/TooTallNate/Java-WebSocket,fa3909c391195178ccf5a92d4ac342a30ae247c8,.,org.java_websocket.issues.Issue256Test.runReconnectBlockingScenario7,Inspected,,,8.59E-09,57.1,2.38,1.08,4000,3905,4000,3957,(2000;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100),(47;0;3;5;1;0;5;0;0;0;4;0;0;0;1;8;3;3;4;11;0),NDOD;NOD
https://github.com/fluent/fluent-logger-java,da14ec349bf0904da9865940b57b87563616ee04,.,org.fluentd.logger.TestFluentLogger.testNormal01,,,,1.07E-11,11.8,0.1,0,4000,3996,4000,4000,(100;100;100;100;200;100;200;100;2100;100;100;200;100;100;100;100;100),(0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0),NDOD;UD
https://github.com/TooTallNate/Java-WebSocket,fa3909c391195178ccf5a92d4ac342a30ae247c8,.,org.java_websocket.issues.Issue677Test.testIssue,,,,8.04E-14,38.1,0.5,0.2,4000,3980,4000,3992,(2000;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100),(1;0;3;4;4;2;0;1;0;0;0;0;0;0;0;0;1;0;0;4;0),NDOD;OD-Vic;NOD
https://github.com/TooTallNate/Java-WebSocket,fa3909c391195178ccf5a92d4ac342a30ae247c8,.,org.java_websocket.issues.Issue256Test.runReconnectBlockingScenario6,Inspected,,,1.65E-14,61.9,2.53,0.8,4000,3899,4000,3968,(2000;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100),(54;0;2;16;2;0;2;2;0;0;0;1;0;1;0;6;3;1;5;6;0),NDOD;NOD
https://github.com/TooTallNate/Java-WebSocket,fa3909c391195178ccf5a92d4ac342a30ae247c8,.,org.java_websocket.protocols.ProtoclHandshakeRejectionTest.testHandshakeRejectionTestCase10,,,,5.63E-16,42.9,0.48,0,4000,3981,4000,4000,(2000;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100),(0;0;0;1;0;0;1;0;0;1;0;0;2;1;0;2;1;6;0;4;0),NDOD;NOD
https://github.com/zalando/riptide,8277e11fc069d8e24df0d233ef2577cc75659b75,./riptide-failsafe,org.zalando.riptide.failsafe.RetryAfterDelayFunctionTest.shouldRetryWithDynamicDelayDate,Inspected,,NDOD,2.22E-16,9.5,10.85,39.05,4000,3566,4000,2438,(2000;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100),(414;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0),NDOD
https://github.com/TooTallNate/Java-WebSocket,fa3909c391195178ccf5a92d4ac342a30ae247c8,.,org.java_websocket.issues.Issue256Test.runReconnectBlockingScenario5,Inspected,,,1.99E-16,61.9,1.63,0.78,4000,3935,4000,3969,(2000;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100),(26;2;1;6;1;0;2;0;0;0;1;1;0;0;0;8;0;2;1;12;2),NDOD;NOD
https://github.com/TooTallNate/Java-WebSocket,fa3909c391195178ccf5a92d4ac342a30ae247c8,.,org.java_websocket.issues.Issue256Test.runReconnectBlockingScenario1,Inspected,,,9.46E-17,57.1,2.35,1.08,4000,3906,4000,3957,(2000;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100),(42;2;2;12;2;0;5;1;0;0;0;1;0;0;0;7;0;1;10;9;0),NDOD;NOD
https://github.com/javadelight/delight-nashorn-sandbox,da35edc0a75424bad8cbf60959fae253202154c4,.,delight.nashornsandbox.TestMemoryLimit.test_no_abuse,Inspected,,NDOD,1.75E-17,23.8,0.63,57.05,4000,3975,4000,1718,(100;100;100;100;100;100;100;2000;100;100;100;100;100;100;100;100;100;100;100;100;100),(2;0;0;0;0;0;1;12;0;0;0;0;1;0;0;9;0;0;0;0;0),NDOD;NOD
https://github.com/wro4j/wro4j,185ab607f1d649ca38b4a772831ee754cd4649fb,./wro4j-extensions,ro.isdc.wro.extensions.processor.TestBourbonCssProcessor.shouldBeThreadSafe,,,,3.15E-19,42.9,0.7,0.3,4000,3972,4000,3988,(100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;2000;100;100;100),(0;0;0;0;1;1;5;4;4;0;0;0;3;0;3;6;0;0;1;0;0),NOD
https://github.com/fluent/fluent-logger-java,da14ec349bf0904da9865940b57b87563616ee04,.,org.fluentd.logger.TestFluentLogger.testClose,,,,2.24E-21,58.8,1.83,0,4000,3927,4000,4000,(100;100;100;100;200;100;200;100;2100;100;100;200;100;100;100;100;100),(0;0;2;16;0;3;3;5;34;2;4;2;2;0;0;0;0),NDOD;UD
https://github.com/TooTallNate/Java-WebSocket,fa3909c391195178ccf5a92d4ac342a30ae247c8,.,org.java_websocket.issues.Issue256Test.runReconnectScenario0,Inspected,,,1.76E-22,90.5,5.05,16.5,4000,3798,4000,3340,(2000;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100),(92;14;2;6;1;1;6;1;1;3;0;4;3;1;5;16;18;19;0;2;7),NDOD;NOD
https://github.com/fluent/fluent-logger-java,da14ec349bf0904da9865940b57b87563616ee04,.,org.fluentd.logger.TestFluentLogger.testFlushOnClose,,,,1.15E-23,58.8,1.7,0,4000,3932,4000,4000,(100;100;100;100;200;100;200;100;2100;100;100;200;100;100;100;100;100),(0;0;2;16;0;3;2;5;30;2;4;2;2;0;0;0;0),NDOD;UD
https://github.com/wro4j/wro4j,185ab607f1d649ca38b4a772831ee754cd4649fb,./wro4j-extensions,ro.isdc.wro.extensions.processor.TestRubySassCssProcessor.shouldBeThreadSafeWhenInitializingProcessor,,,,2.15E-27,33.3,0.65,0.38,4000,3974,4000,3985,(100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;2000;100;100;100),(2;0;6;0;4;0;1;0;0;0;7;0;1;0;0;0;0;0;0;0;5),ID;NOD
https://github.com/TooTallNate/Java-WebSocket,fa3909c391195178ccf5a92d4ac342a30ae247c8,.,org.java_websocket.issues.Issue256Test.runReconnectBlockingScenario8,Inspected,,,2.01E-32,66.7,2.13,1.08,4000,3915,4000,3957,(2000;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100),(27;3;2;11;1;1;3;0;1;0;0;0;0;0;1;15;1;1;5;13;0),NDOD;NOD
https://github.com/alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.serializer.ConcurrentHashMapTest6.test_concurrentHashmap,,,,1.60E-38,4.8,0.15,0,4000,3994,4000,4000,(100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;2000;100;100;100),(0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0),NDOD
https://github.com/TooTallNate/Java-WebSocket,fa3909c391195178ccf5a92d4ac342a30ae247c8,.,org.java_websocket.issues.Issue256Test.runReconnectBlockingScenario9,Inspected,,,3.42E-40,66.7,3.18,0.53,4000,3873,4000,3979,(2000;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100),(45;2;1;21;2;1;5;2;0;0;6;1;0;0;0;15;0;5;5;16;0),NDOD;NOD
https://github.com/javadelight/delight-nashorn-sandbox,da35edc0a75424bad8cbf60959fae253202154c4,.,delight.nashornsandbox.TestGetFunction.test,Inspected,,,9.47E-48,23.8,0.7,4.2,4000,3972,4000,3832,(100;100;100;100;100;100;100;2000;100;100;100;100;100;100;100;100;100;100;100;100;100),(0;0;0;0;0;8;0;5;0;0;0;0;1;2;12;0;0;0;0;0;0),NDOD;OD-Brit;NOD
https://github.com/square/retrofit,ae28c3d5f6fe54f6ca409cdf82106efb47609f8f,./retrofit-adapters/rxjava,retrofit2.adapter.rxjava.CompletableThrowingSafeSubscriberTest.throwingInOnCompleteDeliveredToPlugin,Inspected,,NDOD,7.35E-52,14.3,0.4,0,4000,3984,4000,4000,(100;100;100;100;100;100;100;2000;100;100;100;100;100;100;100;100;100;100;100;100;100),(0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;5;0;0;0;0;1),NDOD;NOD
