https://github.com/alibaba/fastjson,.,\Use{alibaba/fastjson=._name},M1
https://github.com/apache/hbase,./hbase-procedure,\Use{apache/hbase=./hbase-procedure_name},M2
https://github.com/apache/incubator-dubbo,./dubbo-remoting/dubbo-remoting-netty,\Use{apache/incubator-dubbo=./dubbo-remoting/dubbo-remoting-netty_name},M3
https://github.com/apache/incubator-dubbo,./dubbo-rpc/dubbo-rpc-dubbo,\Use{apache/incubator-dubbo=./dubbo-rpc/dubbo-rpc-dubbo_name},M4
https://github.com/apache/incubator-dubbo,./dubbo-rpc/dubbo-rpc-http,\Use{apache/incubator-dubbo=./dubbo-rpc/dubbo-rpc-http_name},M5
https://github.com/apereo/java-cas-client,./cas-client-core,\Use{apereo/java-cas-client=./cas-client-core_name},M6
https://github.com/c2mon/c2mon,./c2mon-daq/c2mon-daq-core,\Use{c2mon/c2mon=./c2mon-daq/c2mon-daq-core_name},M7
https://github.com/c2mon/c2mon,./c2mon-server/c2mon-server-common,\Use{c2mon/c2mon=./c2mon-server/c2mon-server-common_name},M8
https://github.com/cescoffier/vertx-completable-future,.,\Use{cescoffier/vertx-completable-future=._name},M9
https://github.com/codingchili/excelastic,.,\Use{codingchili/excelastic=._name},M10
https://github.com/davidmoten/rxjava2-extras,.,\Use{davidmoten/rxjava2-extras=._name},M11
https://github.com/eclipse-ee4j/tyrus,./tests/e2e/non-deployable,\Use{eclipse-ee4j/tyrus=./tests/e2e/non-deployable_name},M12
https://github.com/elasticjob/elastic-job-lite,./elastic-job-lite-core,\Use{elasticjob/elastic-job-lite=./elastic-job-lite-core_name},M13
https://github.com/elasticjob/elastic-job-lite,./elastic-job-lite-lifecycle,\Use{elasticjob/elastic-job-lite=./elastic-job-lite-lifecycle_name},M14
https://github.com/espertechinc/esper,./examples/rfidassetzone,\Use{espertechinc/esper=./examples/rfidassetzone_name},M15
https://github.com/feroult/yawp,./yawp-testing/yawp-testing-appengine,\Use{feroult/yawp=./yawp-testing/yawp-testing-appengine_name},M16
https://github.com/flaxsearch/luwak,./luwak,\Use{flaxsearch/luwak=./luwak_name},M17
https://github.com/fluent/fluent-logger-java,.,\Use{fluent/fluent-logger-java=._name},M18
https://github.com/fromage/redpipe,./redpipe-service-discovery,\Use{fromage/redpipe=./redpipe-service-discovery_name},M19
https://github.com/fromage/redpipe,./redpipe-engine,\Use{fromage/redpipe=./redpipe-engine_name},M20
https://github.com/fromage/redpipe,./redpipe-templating-freemarker,\Use{fromage/redpipe=./redpipe-templating-freemarker_name},M21
https://github.com/javadelight/delight-nashorn-sandbox,.,\Use{javadelight/delight-nashorn-sandbox=._name},M22
https://github.com/kagkarlsson/db-scheduler,.,\Use{kagkarlsson/db-scheduler=._name},M23
https://github.com/knightliao/disconf,./disconf-client,\Use{knightliao/disconf=./disconf-client_name},M24
https://github.com/lcw2004/one,./one-notify,\Use{lcw2004/one=./one-notify_name},M25
https://github.com/looly/hutool,./hutool-cron,\Use{looly/hutool=./hutool-cron_name},M26
https://github.com/nationalsecurityagency/timely,./server,\Use{nationalsecurityagency/timely=./server_name},M27
https://github.com/odrotbohm/sos,./20-modulith,\Use{odrotbohm/sos=./20-modulith_name},M28
https://github.com/oracle/oci-java-sdk,./bmc-objectstorage/bmc-objectstorage-extensions,\Use{oracle/oci-java-sdk=./bmc-objectstorage/bmc-objectstorage-extensions_name},M29
https://github.com/orbit/orbit,./actors/runtime,\Use{orbit/orbit=./actors/runtime_name},M30
https://github.com/OryxProject/oryx,./framework/oryx-common,\Use{OryxProject/oryx=./framework/oryx-common_name},M31
https://github.com/outbrain/aletheia,./aletheia-core,\Use{outbrain/aletheia=./aletheia-core_name},M32
https://github.com/pippo-java/pippo,./pippo-session-parent/pippo-session-jedis,\Use{pippo-java/pippo=./pippo-session-parent/pippo-session-jedis_name},M33
https://github.com/pippo-java/pippo,./pippo-session-parent/pippo-session-mongodb,\Use{pippo-java/pippo=./pippo-session-parent/pippo-session-mongodb_name},M34
https://github.com/ppiastucki/recast4j,./detourtilecache,\Use{ppiastucki/recast4j=./detourtilecache_name},M35
https://github.com/querydsl/querydsl,./querydsl-hibernate-search,\Use{querydsl/querydsl=./querydsl-hibernate-search_name},M36
https://github.com/spinn3r/noxy,./noxy-discovery-zookeeper,\Use{spinn3r/noxy=./noxy-discovery-zookeeper_name},M37
https://github.com/spotify/helios,./helios-testing,\Use{spotify/helios=./helios-testing_name},M38
https://github.com/square/retrofit,./retrofit-adapters/rxjava,\Use{square/retrofit=./retrofit-adapters/rxjava_name},M39
https://github.com/square/retrofit,./retrofit,\Use{square/retrofit=./retrofit_name},M40
https://github.com/TooTallNate/Java-WebSocket,.,\Use{TooTallNate/Java-WebSocket=._name},M41
https://github.com/undertow-io/undertow,./websockets-jsr,\Use{undertow-io/undertow=./websockets-jsr_name},M42
https://github.com/vert-x3/vertx-rabbitmq-client,.,\Use{vert-x3/vertx-rabbitmq-client=._name},M43
https://github.com/vmware/admiral,./adapter/registry,\Use{vmware/admiral=./adapter/registry_name},M44
https://github.com/wro4j/wro4j,./wro4j-extensions,\Use{wro4j/wro4j=./wro4j-extensions_name},M45
https://github.com/wso2/carbon-apimgt,./analyzer-modules/org.wso2.carbon.apimgt.throttling.siddhi.extension,\Use{wso2/carbon-apimgt=./analyzer-modules/org.wso2.carbon.apimgt.throttling.siddhi.extension_name},M46
https://github.com/zalando/riptide,./riptide-backup,\Use{zalando/riptide=./riptide-backup_name},M47
https://github.com/zalando/riptide,./riptide-failsafe,\Use{zalando/riptide=./riptide-failsafe_name},M48
